lon,lat
93.79,40.51
148.23,35.59
140.4,10.85
82.24,11.17
110.47,46.48
149.08,25.18
89.55,15.69
126.13,37.87
138.39,49.45
148.35,7.59
76.72,-4.67
122.17,20.77
76.55,1.99
130.41,51.06
83.47,36.08
137.61,46.21
130.85,41.73
66.53,50.11
81.39,-3.38
128.74,-8.33
108.37,-0.98
132.23,-3.95
133.87,51.72
149.1,39.49
85.45,36.96
131.76,-7.14
86.05,30.28
91.35,9.22
112.54,0.43
135.08,28.98
63.58,30.66
147.11,1.23
138.97,51.84
112.74,-7.68
137.51,54.84
104.45,14.8
65.46,-4.75
128.74,37.26
62.42,48.64
121.04,4.74
133.2,18.16
100.25,6.51
91.55,6.71
62.62,24.34
100.23,-7.98
69.21,-9.7
92.42,9.59
99.72,17.38
92.88,-2.6
63.91,27.73
